         1781202 function calls (1758822 primitive calls) in 2.859 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       13    0.000    0.000    0.000    0.000 __init__.py:517(cast)
        2    0.000    0.000    0.000    0.000 __init__.py:521(string_at)
        1    0.000    0.000    0.000    0.000 __init__.py:538(WorkingSet)
        3    0.000    0.000    0.000    0.000 __init__.py:54(exec_module)
        1    0.000    0.000    0.020    0.020 __init__.py:541(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:553(__init__)
        1    0.000    0.000    0.020    0.020 __init__.py:554(_build_master)
        7    0.000    0.000    0.000    0.000 __init__.py:57(find_spec)
        4    0.000    0.000    0.000    0.000 __init__.py:581(__init__)
       16    0.000    0.000    0.039    0.002 __init__.py:596(add_entry)
        1    0.000    0.000    0.000    0.000 __init__.py:64(install)
        4    0.000    0.000    0.000    0.000 __init__.py:649(update)
       38    0.000    0.000    0.000    0.000 __init__.py:653(__iter__)
       74    0.000    0.000    0.001    0.000 __init__.py:670(add)
        1    0.000    0.000    0.000    0.000 __init__.py:687(BufferingFormatter)
        1    0.000    0.000    0.000    0.000 __init__.py:70(search_function)
        1    0.000    0.000    0.000    0.000 __init__.py:729(Filter)
        4    0.000    0.000    0.000    0.000 __init__.py:76(CFUNCTYPE)
        1    0.000    0.000    0.000    0.000 __init__.py:766(Filterer)
       12    0.000    0.000    0.000    0.000 __init__.py:771(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:838(_addHandlerRef)
        1    0.000    0.000    0.000    0.000 __init__.py:848(Handler)
        1    0.000    0.000    0.000    0.000 __init__.py:857(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:886(createLock)
        1    0.000    0.000    0.000    0.000 __init__.py:893(subscribe)
       37    0.000    0.000    0.000    0.000 __init__.py:907(_added_new)
        1    0.000    0.000    0.001    0.001 __init__.py:91(_ensure_llvm)
        1    0.000    0.000    0.000    0.000 __init__.py:925(_ReqExtras)
        1    0.000    0.000    0.000    0.000 __init__.py:925(__init__)
        1    0.000    0.000    0.002    0.002 __init__.py:945(Environment)
        6    0.000    0.000    0.000    0.000 __init__.py:97(<lambda>)
        6    0.000    0.000    0.000    0.000 __init__.py:98(<lambda>)
        1    0.000    0.000    0.000    0.000 __init__.py:989(__setitem__)
        1    0.000    0.000    0.002    0.002 _add_newdocs.py:1(<module>)
       52    0.000    0.000    0.000    0.000 _add_newdocs.py:5984(refer_to_array_attribute)
        1    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:16(numeric_type_aliases)
       16    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:17(type_aliases_gen)
       24    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:52(add_newdoc_for_scalar_type)
       34    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:58(<genexpr>)
       39    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:59(<genexpr>)
        1    0.000    0.000    0.001    0.001 _asarray.py:1(<module>)
       27    0.000    0.000    0.000    0.000 _asarray.py:23(asarray)
        1    0.000    0.000    0.000    0.000 _base.py:113(_AllCompletedWaiter)
        1    0.000    0.000    0.000    0.000 _base.py:143(_AcquireFutures)
        1    0.000    0.000    0.000    0.000 _base.py:146(__init__)
        1    0.000    0.000    0.000    0.000 _base.py:149(__enter__)
        1    0.000    0.000    0.000    0.000 _base.py:153(__exit__)
        1    0.000    0.000    0.000    0.000 _base.py:157(_create_and_install_waiters)
        2    0.000    0.000    0.000    0.000 _base.py:179(_yield_finished_futures)
        2    0.000    0.000    0.000    0.000 _base.py:201(as_completed)
        2    0.000    0.000    0.000    0.000 _base.py:225(<genexpr>)
        1    0.000    0.000    0.000    0.000 _base.py:314(Future)
        4    0.000    0.000    0.000    0.000 _base.py:317(__init__)
        1    0.000    0.000    0.000    0.000 _base.py:387(__get_result)
        1    0.000    0.000    0.007    0.007 _base.py:4(<module>)
        1    0.000    0.000    0.000    0.000 _base.py:417(result)
        1    0.000    0.000    0.000    0.000 _base.py:45(Error)
        1    0.000    0.000    0.000    0.000 _base.py:49(CancelledError)
        1    0.000    0.000    0.000    0.000 _base.py:53(TimeoutError)
        1    0.000    0.000    0.000    0.000 _base.py:558(Executor)
        1    0.000    0.000    0.000    0.000 _base.py:57(InvalidStateError)
        1    0.000    0.000    0.000    0.000 _base.py:61(_Waiter)
        1    0.000    0.000    0.000    0.000 _base.py:63(__init__)
        1    0.000    0.000    0.000    0.000 _base.py:632(__enter__)
        1    0.000    0.000    0.201    0.201 _base.py:635(__exit__)
        1    0.000    0.000    0.000    0.000 _base.py:640(BrokenExecutor)
        1    0.000    0.000    0.000    0.000 _base.py:76(_AsCompletedWaiter)
        1    0.000    0.000    0.000    0.000 _base.py:79(__init__)
        1    0.000    0.000    0.000    0.000 _base.py:98(_FirstCompletedWaiter)
        1    0.000    0.000    0.000    0.000 _bootlocale.py:11(getpreferredencoding)
        1    0.000    0.000    0.000    0.000 _collections_abc.py:262(__subclasshook__)
        1    0.000    0.000    0.000    0.000 _collections_abc.py:362(__subclasshook__)
